                    1
 type,Incident/Second,EnSelected,x(m),y(m),z(m),velx(m/s),vely(m/s),velz(m/s),Diss,StateNum,partNum,Time(s)
e,i,-0.34646E+01,       0.00000E+00,        0.00000E+00,        0.00000E+00,        0.11214-302,        0.99746E+07,        -0.87401E+07,       n,2,                  0,                  0.00000E+00         
e,i,-0.34646E+01,       0.42951E-14,        0.22044E-01,        -0.19316E-01,       0.95703-303,        0.85128E+07,        0.99515E+07,        n,1,                  0,                  0.22100E-08         
