                    1
 type,Incident/Second,EnSelected,x(m),y(m),z(m),velx(m/s),vely(m/s),velz(m/s),Diss,StateNum,partNum,Time(s)
e,i,-0.30095E+01,       0.00000E+00,        0.00000E+00,        0.00000E+00,        0.13793-302,        0.12269E+08,        -0.50347E+07,       n,5,                  0,                  0.00000E+00         
e,i,-0.34646E+01,       0.45083E-13,        0.87848E-01,        -0.36048E-01,       0.12425-302,        0.11052E+08,        0.70143E+07,        n,2,                  0,                  0.71600E-08         
e,i,-0.34646E+01,       0.48462E-13,        0.10951E+00,        -0.22300E-01,       0.28331-303,        0.25201E+07,        -0.12673E+08,       n,2,                  0,                  0.91200E-08         
e,i,-0.12723E+01,       0.72059E-13,        0.12256E+00,        -0.87946E-01,       0.91719-303,        0.81584E+07,        0.97986E+07,        n,1,                  0,                  0.14300E-07         
